symbol,date,price
MRK,Jan 2010,30.09
MRK,Feb 2010,29.06
MRK,Mar 2010,29.74
MRK,Apr 2010,27.90
MRK,May 2010,26.83
MRK,Jun 2010,28.15
MRK,Jul 2010,27.74
MRK,Aug 2010,28.31
MRK,Sep 2010,29.95
MRK,Oct 2010,29.54
MRK,Nov 2010,28.04
MRK,Dec 2010,29.63
MRK,Jan 2011,27.27
MRK,Feb 2011,26.78
MRK,Mar 2011,27.46
MRK,Apr 2011,29.90
MRK,May 2011,30.57
MRK,Jun 2011,29.67
MRK,Jul 2011,28.70
MRK,Aug 2011,27.83
MRK,Sep 2011,27.83
MRK,Oct 2011,29.36
MRK,Nov 2011,30.42
MRK,Dec 2011,32.47
MRK,Jan 2012,32.96
MRK,Feb 2012,32.87
MRK,Mar 2012,33.44
MRK,Apr 2012,34.17
MRK,May 2012,32.72
MRK,Jun 2012,36.75
MRK,Jul 2012,38.88
MRK,Aug 2012,37.90
MRK,Sep 2012,40.08
MRK,Oct 2012,40.55
MRK,Nov 2012,39.3
MRK,Dec 2012,36.73
MRK,Jan 2013,38.80
MRK,Feb 2013,38.34
MRK,Mar 2013,40.04
MRK,Apr 2013,42.58
MRK,May 2013,42.30
MRK,Jun 2013,42.46
MRK,Jul 2013,44.04
MRK,Aug 2013,43.23
MRK,Sep 2013,43.92
MRK,Oct 2013,41.59
MRK,Nov 2013,45.96
MRK,Dec 2013,46.59
MRK,Jan 2014,49.30
MRK,Feb 2014,53.05
MRK,Mar 2014,53.25
MRK,Apr 2014,54.93
MRK,May 2014,54.28
MRK,Jun 2014,54.68
MRK,Jul 2014,53.63
MRK,Aug 2014,56.81
MRK,Sep 2014,56.44
MRK,Oct 2014,55.16
MRK,Nov 2014,57.50
MRK,Dec 2014,54.48
MRK,Jan 2015,57.82
MRK,Feb 2015,56.15
MRK,Mar 2015,55.58
MRK,Apr 2015,57.59
MRK,May 2015,58.88
MRK,Jun 2015,55.47
MRK,Jul 2015,57.45
MRK,Aug 2015,52.47
MRK,Sep 2015,48.54
MRK,Oct 2015,53.72
MRK,Nov 2015,52.10
MRK,Dec 2015,52.36
MRK,Jan 2016,50.23
MRK,Feb 2016,49.77
MRK,Mar 2016,52.91
MRK,Apr 2016,54.84
MRK,May 2016,56.25
MRK,Jun 2016,56.63

