symbol,date,price
SNY,Jan 2010,27.49
SNY,Feb 2010,27.34
SNY,Mar 2010,27.90
SNY,Apr 2010,25.48
SNY,May 2010,23.56
SNY,Jun 2010,23.67
SNY,Jul 2010,22.95
SNY,Aug 2010,22.53
SNY,Sep 2010,26.19
SNY,Oct 2010,27.65
SNY,Nov 2010,24.04
SNY,Dec 2010,25.38
SNY,Jan 2011,27.10
SNY,Feb 2011,27.23
SNY,Mar 2011,27.74
SNY,Apr 2011,31.13
SNY,May 2011,32.71
SNY,Jun 2011,33.17
SNY,Jul 2011,32
SNY,Aug 2011,30.2
SNY,Sep 2011,27.08
SNY,Oct 2011,29.52
SNY,Nov 2011,28.91
SNY,Dec 2011,30.17
SNY,Jan 2012,30.66
SNY,Feb 2012,30.58
SNY,Mar 2012,32
SNY,Apr 2012,31.52
SNY,May 2012,29.47
SNY,Jun 2012,32.71
SNY,Jul 2012,35.19
SNY,Aug 2012,35.46
SNY,Sep 2012,37.29
SNY,Oct 2012,37.97
SNY,Nov 2012,38.64
SNY,Dec 2012,41.03
SNY,Jan 2013,42.15
SNY,Feb 2013,40.88
SNY,Mar 2013,44.23
SNY,Apr 2013,46.20
SNY,May 2013,47.57
SNY,Jun 2013,46.15
SNY,Jul 2013,46.12
SNY,Aug 2013,42.81
SNY,Sep 2013,45.36
SNY,Oct 2013,47.92
SNY,Nov 2013,47.33
SNY,Dec 2013,48.05
SNY,Jan 2014,43.81
SNY,Feb 2014,46.45
SNY,Mar 2014,46.84
SNY,Apr 2014,48.2
SNY,May 2014,49.49
SNY,Jun 2014,49.37
SNY,Jul 2014,48.54
SNY,Aug 2014,50.79
SNY,Sep 2014,52.4
SNY,Oct 2014,42.94
SNY,Nov 2014,44.84
SNY,Dec 2014,42.35
SNY,Jan 2015,42.8
SNY,Feb 2015,45.37
SNY,Mar 2015,45.91
SNY,Apr 2015,46.94
SNY,May 2015,47.41
SNY,Jun 2015,47.53
SNY,Jul 2015,51.81
SNY,Aug 2015,46.94
SNY,Sep 2015,45.55
SNY,Oct 2015,48.3
SNY,Nov 2015,42.43
SNY,Dec 2015,40.92
SNY,Jan 2016,39.95
SNY,Feb 2016,37.95
SNY,Mar 2016,38.53
SNY,Apr 2016,39.44
SNY,May 2016,41.2
SNY,Jun 2016,41.13


