Date,Open,High,Low,Close,Volume,Adj Close
2016-06-01,29.360001,29.90,29.34,29.73,4229300,29.73
2016-05-02,29.110001,30.200001,27.74,29.700001,4003000,29.700001
2016-04-01,27.75,30.41,27.700001,28.959999,3999900,28.959999
2016-03-01,28.58,29.629999,27.68,28.16,4898900,28.16
2016-02-01,32.02,32.82,28.290001,28.67,6003200,28.67
2016-01-04,33.50,33.939999,29.959999,32.220001,4645500,31.210136
2015-12-01,34.330002,34.880001,32.57,33.950001,3035900,32.885914
2015-11-02,31.889999,34.349998,30.74,34.049999,3959000,32.982777
2015-10-01,31.84,32.450001,30.26,31.889999,2648700,30.890478
2015-09-01,30.92,34.470001,30.540001,31.82,2982600,30.822672
2015-08-03,33.849998,34.689999,29.50,31.280001,2060600,30.299599
2015-07-01,64.779999,68.129997,32.349998,33.790001,2454700,32.298359
2015-06-01,67.370003,67.900002,63.220001,63.709999,3451000,30.448778
2015-05-01,68.089996,70.669998,66.769997,67.550003,2658300,32.284023
2015-04-01,68.959999,73.379997,68.230003,68.480003,2490300,32.728497
2015-03-02,68.849998,73.00,64.260002,68.43,2680200,32.704597
2015-02-02,71.300003,71.889999,67.139999,68.900002,3960000,32.929226
2015-01-02,71.07,72.220001,67.459999,71.040001,3799000,33.025272
2014-12-01,74.360001,74.650002,69.32,70.379997,3561800,32.718449
2014-11-03,72.480003,75.940002,71.669998,74.169998,3023700,34.480354
2014-10-01,71.230003,73.129997,66.379997,72.940002,4816600,33.90855
2014-09-02,73.830002,75.620003,70.449997,71.440002,3936300,33.211227
2014-08-01,72.639999,76.239998,67.480003,76.010002,6179400,35.335743
2014-07-01,75.300003,76.57,72.57,72.790001,4623800,33.398781
2014-06-02,72.739998,76.150002,72.00,74.309998,6122300,34.09621
2014-05-01,79.309998,82.68,69.779999,72.199997,17227400,33.128063
2014-04-01,65.230003,79.900002,61.799999,79.050003,10373600,36.271103
2014-03-03,66.519997,68.230003,63.57,64.879997,3833200,29.769375
2014-02-03,63.580002,68.760002,61.75,67.760002,6171300,31.090828
2014-01-02,58.57,65.82,58.290001,63.50,5013300,28.323874
2013-12-02,57.360001,59.669998,56.119999,59.369999,4879800,26.481707
2013-11-01,52.740002,57.619999,52.080002,57.189999,3452300,25.509327
2013-10-01,52.080002,53.73,49.630001,52.860001,2514800,23.577951
2013-09-03,49.330002,52.34,48.529999,51.93,2941500,23.16313
2013-08-01,50.450001,51.48,49.099998,49.209999,3353400,21.949886
2013-07-01,47.970001,51.07,47.509998,50.720001,3206000,22.227364
2013-06-03,51.259998,51.810001,46.869999,47.299999,4488900,20.728594
2013-05-01,51.959999,53.450001,50.919998,51.25,3551300,22.459629
2013-04-01,49.810001,52.240002,49.439999,51.919998,4332100,22.753246
2013-03-01,45.220001,50.119999,45.119999,49.98,4701800,21.903069
2013-02-01,48.400002,48.52,44.459999,45.439999,4707600,19.913473
2013-01-02,48.16,50.139999,47.689999,48.18,3431900,20.268248
2012-12-03,47.880001,49.27,46.720001,47.27,2510400,19.885431
2012-11-01,46.700001,47.630001,44.169998,47.540001,1988700,19.999014
2012-10-01,46.779999,47.810001,45.77,46.400002,3005200,19.519442
2012-09-04,46.34,48.509998,46.09,47.860001,2760200,20.133631
2012-08-01,47.029999,48.389999,46.490002,46.790001,2524800,19.683506
2012-07-02,44.830002,47.43,44.709999,46.810001,4193400,19.32354
2012-06-01,40.00,45.049999,39.720001,44.75,3231100,18.473156
2012-05-01,44.110001,44.529999,40.139999,40.41,2857600,16.681568
2012-04-02,44.650002,46.349998,43.00,43.900002,4030400,18.122269
2012-03-01,45.00,45.73,44.130001,44.490002,3416800,18.365826
2012-02-01,48.459999,49.00,44.52,44.889999,3474600,18.530949
2012-01-03,47.049999,48.459999,46.25,48.150002,2663500,19.062254
2011-12-01,45.939999,46.470001,44.470001,46.290001,3016600,18.325893
2011-11-01,46.66,47.990002,42.380001,45.98,3248500,18.203165
2011-10-03,44.150002,49.950001,42.93,47.91,3051200,18.967239
2011-09-01,47.23,47.619999,42.34,44.360001,3164400,17.561819
2011-08-01,49.119999,49.119999,40.889999,47.419998,5285300,18.773251
2011-07-01,49.91,51.18,48.310001,48.509998,3541700,18.857454
2011-06-01,52.419998,52.470001,48.169998,50.07,2801800,19.463879
2011-05-02,50.049999,52.540001,49.91,52.400002,2483600,20.369629
2011-04-01,46.310001,51.73,46.150002,49.830002,2920200,19.370584
2011-03-01,48.77,49.040001,44.98,46.119999,2965500,17.928383
2011-02-01,49.029999,49.43,47.200001,49.169998,2676900,19.114019
2011-01-03,46.439999,49.639999,46.259998,48.900002,3030300,18.29487
2010-12-01,47.450001,49.560001,45.50,46.189999,2488100,17.280983
2010-11-01,49.950001,50.689999,46.619999,46.93,2636700,17.557838
2010-10-01,51.150002,53.50,49.849998,50.459999,2291300,18.87851
2010-09-01,50.610001,52.779999,50.32,50.700001,1949700,18.968302
2010-08-02,51.529999,53.529999,49.310001,49.43,2731200,18.493158
2010-07-01,47.740002,52.299999,46.709999,50.439999,5416200,18.618258
2010-06-01,42.32,49.799999,41.93,47.130001,5418800,17.396481
2010-05-03,44.060001,44.310001,40.299999,42.25,5577000,15.59519
2010-04-01,44.889999,45.849998,43.00,44.23,2696700,16.326042
2010-03-01,43.950001,45.50,43.759998,44.720001,2409200,16.50691
2010-02-01,46.619999,47.09,42.209999,44.119999,3631800,16.285439
2010-01-04,47.419998,50.700001,45.57,46.490002,4191800,16.534176
