symbol,date,price
GSK,Jan 2010,27.21
GSK,Feb 2010,26.3
GSK,Mar 2010,27.28
GSK,Apr 2010,26.4
GSK,May 2010,23.99
GSK,Jun 2010,24.39
GSK,Jul 2010,25.54
GSK,Aug 2010,27.16
GSK,Sep 2010,28.7
GSK,Oct 2010,28.71
GSK,Nov 2010,28.15
GSK,Dec 2010,28.85
GSK,Jan 2011,26.72
GSK,Feb 2011,28.85
GSK,Mar 2011,28.7
GSK,Apr 2011,32.63
GSK,May 2011,32.87
GSK,Jun 2011,32.45
GSK,Jul 2011,33.6
GSK,Aug 2011,32.78
GSK,Sep 2011,31.61
GSK,Oct 2011,34.29
GSK,Nov 2011,34.47
GSK,Dec 2011,35.37
GSK,Jan 2012,34.52
GSK,Feb 2012,34.98
GSK,Mar 2012,35.45
GSK,Apr 2012,36.49
GSK,May 2012,35.23
GSK,Jun 2012,36.4
GSK,Jul 2012,36.74
GSK,Aug 2012,36.75
GSK,Sep 2012,37.35
GSK,Oct 2012,36.27
GSK,Nov 2012,35.22
GSK,Dec 2012,35.6
GSK,Jan 2013,37.35
GSK,Feb 2013,36.6
GSK,Mar 2013,39
GSK,Apr 2013,42.93
GSK,May 2013,43.51
GSK,Jun 2013,41.99
GSK,Jul 2013,42.83
GSK,Aug 2013,43.23
GSK,Sep 2013,42.62
GSK,Oct 2013,44.71
GSK,Nov 2013,45.49
GSK,Dec 2013,45.89
GSK,Jan 2014,44.3
GSK,Feb 2014,48.73
GSK,Mar 2014,46.54
GSK,Apr 2014,48.23
GSK,May 2014,47.54
GSK,Jun 2014,47.13
GSK,Jul 2014,42.63
GSK,Aug 2014,43.85
GSK,Sep 2014,41.06
GSK,Oct 2014,40.63
GSK,Nov 2014,42.05
GSK,Dec 2014,38.69
GSK,Jan 2015,39.83
GSK,Feb 2015,43.57
GSK,Mar 2015,42.4
GSK,Apr 2015,41.29
GSK,May 2015,41.29
GSK,Jun 2015,38.76
GSK,Jul 2015,40.42
GSK,Aug 2015,38.6
GSK,Sep 2015,36.26
GSK,Oct 2015,40.61
GSK,Nov 2015,38.75
GSK,Dec 2015,38.59
GSK,Jan 2016,39.49
GSK,Feb 2016,38.17
GSK,Mar 2016,40.02
GSK,Apr 2016,42.35
GSK,May 2016,42.36
GSK,Jun 2016,42.88
